"This paper generalizes previous optimal upper bounds on the minimum Euclidean distance for phase shift keying (PSK) block codes, that are explicit in three parameters: alphabet size, block length a ...","['Efraim Laksman', 'Håkan Lennerstad', 'Magnus Nilsson']",0,"['01a765b8-0cb3-495c-996f-29c36756b435', '5dbc8ccb-0014-4cb8-b720-e2a5b44b671d', '71ea2d72-eb37-409e-af69-04e50a01dc57', '79c988db-c749-4a4a-87a3-d56efc360ec8', '96da5fa5-ba62-49cc-a501-b17321433a08', 'b78483f4-dff7-4858-8eb2-287bc6c39012', 'e325951d-4375-4f15-b0cb-e0bd92e02008', 'ee0a0cc0-609b-4774-965c-4a8d38af8400', 'fc2571ef-0ad1-49bc-b91f-caf8de23adb0']",Generalized upper bounds on the minimum distance of PSK block codes,Ima Journal of Mathematical Control and Information,2015,4ab3b585-82b4-4207-91dd-b6bce7e27c4e,1
"Queueing networks with multiple classes of customers play a fundamental role for evaluating the performance of both software and hardware architectures. The main strength of product–form models, in particular of BCMP queueing networks, is that they combine a flexible formalism with efficient analysis techniques and solution algorithms. In this paper we provide an algorithm that starting from a high–level description of a system, and from the definition of its components in terms of interacting sub–systems, computes a multiple–class and multiple–chain BCMP queueing network. We believe that the strength of this approach is twofold. First, the modeller deals with simplified models, which are defined in a modular and hierarchical way. Hence, we can carry on sensitivity analysis that may easily include structural changes (and not only on the time parameters). Second, maintaining the product–form property allows one to derive the average system performance indices very efficiently. The paper also discusses the ...","['Simonetta Balsamo', 'Gian–Luca Dei Rossi', 'Andrea Marin']",6,"['1c26e228-57d2-4b2c-b0c9-8d5851c17fac', '75399207-1568-4ee7-ba52-ef10f26add66', '85244323-5e23-4e8b-86f5-7ac94efeb41a', '8feb6edc-fb79-42ef-8b1f-0bdad35d32d6', 'af481f6f-28ed-450b-97ab-90053e681184', 'db568ebb-0611-468b-81cc-c1443de40c14', 'fd0827cd-5709-4048-94fd-572968165b1e']",Applying BCMP multi-class queueing networks for the performance evaluation of hierarchical and modular software systems,International Journal of Computer Aided Engineering and Technology,2015,4ab3e768-78c9-4497-8b8e-9e934cb5f2e4,2
"A CMOS oscillator employing differential transistor pairs working in Class-C in push-pull configuration is presented. The oscillator exhibits the same advantages enjoyed by complementary topologies on oscillators based on a single differential pair, while yielding a substantial power consumption reduction thanks to the Class-C operation. The phase-noise performance and the fundamental conditions required to keep the transistors working in Class-C are analyzed in detail. It is shown that, for an optimal performance, both nMOS and pMOS transistors should not be pushed into the deep triode region by the instantaneous resonator voltage, and a simple circuit solution is proposed to accommodate a large oscillation swing. A 0.18- μm CMOS prototype of the (voltage-controlled) oscillator displays an oscillation frequency from 6.09 to 7.50 GHz. The phase noise at 2-MHz offset is below -120 dBc/Hz with a power dissipation of 2.2 mW, for a state-of-the-art figure-of-merit ranging from 189 to 191 dBc/Hz.","['Andrea Mazzanti', 'Pietro Andreani']",50,"['0a09db01-264a-4bdf-942c-d33cceb35d3c', '36c942df-7fcb-40b8-b023-a3a4001f632e', '84c00b06-a611-4082-89f7-df2d5540d210', 'a5496509-ebaf-472b-bc83-2e7c503e55bf', 'b8b564ca-0651-4fd4-8db0-0f7710e25ce1', 'bb1ed638-e3c3-46f7-adf9-6977afca564a', 'e3a35338-4747-46f7-b752-5690a5c3c84a', 'f277b0e7-3f23-4a22-ac17-fc6c6019c664']",A Push–Pull Class-C CMOS VCO,IEEE Journal of Solid-state Circuits,2013,4ab3f7cd-140b-4e29-99d4-f4e8006c4f65,1
"In statistical setting of the pattern recognition problem the number of examples required to approximate an unknown labelling function is linear in the VC dimension of the target learning class. In this work we consider the question whether such bounds exist if consider only computable pattern recognition methods, assuming that the unknown labelling function is also computable. We find that in this case the number of examples required for a computable method to approximate the labelling function not only is not linear, but grows faster (in the VC dimension of the class) than any computable function. No time or space constraints are put on the predictors or target functions; the only resource we consider is the training examples.#R##N##R##N#The task of pattern recognition is considered in conjunction with another learning problem — data compression. An impossibility result for the task of data compression allows us to estimate the sample complexity for pattern recognition.",['Daniil Ryabko'],2,['505f493b-e09d-444d-9ee2-5e5db6a5b8ac'],On computability of pattern recognition problems,algorithmic learning theory,2005,4ab404e2-6f4b-4fb4-b093-50775e765b13,2
"We first discuss some general aspects of micromanipulation and possible different approaches. Then, we present new results in the micromanipulation of mechanical and biological objects. The apparatus we use is a purposely developed workstation comprising macro- and micro-manipulators. The most innovative component of the workstation is a micro-gripper fabricated using LIGA technology and actuated by piezoelectric actuators. We describe the design, fabrication and performance of a few prototypes of LIGA micro-grippers. Results are presented which demonstrate the ability of the system to manipulate effectively both micro-mechanical and biological micro-objects.","['Maria Chiara Carrozza', 'Paolo Dario', 'Arianna Menciassi', 'A. Fenu']",50,"['5ecd70e1-7ccc-4b2f-ac09-b91953cca5cd', '7fa711e9-0010-47a7-8194-9e94e70774b3', '95fbcb46-d829-453b-8c74-d691150c7eac', 'dade067a-8767-4258-8a1d-4f27f2be4f61']",Manipulating biological and mechanical micro-objects using LIGA-microfabricated end-effectors,international conference on robotics and automation,1998,4ab4244d-fb3e-49a3-b125-367df3d8e6ba,2
